Sentence,Keywords
create a 15 minute timer,15 minute timer
create a 30 minute timer,30 minute timer
create a 60 minute timer,60 minute timer
create a 5 hour timer,5 hour timer
create a 10 hour timer,10 hour timer
create a 30 second timer,30 second timer
create a 1 minute timer,1 minute timer
set a one minute timer,1 minute timer
set a two minute timer,2 minute timer
set a three minute timer,3 minute timer
set a four minute timer,4 minute timer
set a five minute timer,5 minute timer
set a six minute timer,6 minute timer
set a seven minute timer,7 minute timer
set a eight minute timer,8 minute timer
set a nine minute timer,9 minute timer
set a ten minute timer,10 minute timer
set a eleven minute timer,11 minute timer
set a twelve minute timer,12 minute timer
set a thirteen minute timer,13 minute timer
set a fourteen minute timer,14 minute timer
set a fifteen minute timer,15 minute timer
set a sixteen minute timer,16 minute timer
set a seventeen minute timer,17 minute timer
set a eighteen minute timer,18 minute timer
set a nineteen minute timer,19 minute timer
set a twenty minute timer,20 minute timer
set a twenty one minute timer,21 minute timer
set a twenty two minute timer,22 minute timer
set a twenty three minute timer,23 minute timer
set a twenty four minute timer,24 minute timer
set a twenty five minute timer,25 minute timer
set a twenty six minute timer,26 minute timer
set a twenty seven minute timer,27 minute timer
set a twenty eight minute timer,28 minute timer
set a twenty nine minute timer,29 minute timer
set a thirty minute timer,30 minute timer
set a thirty one minute timer,31 minute timer
set a thirty two minute timer,32 minute timer
set a thirty three minute timer,33 minute timer
set a thirty four minute timer,34 minute timer
set a thirty five minute timer,35 minute timer
set a thirty six minute timer,36 minute timer
set a thirty seven minute timer,37 minute timer
set a thirty eight minute timer,38 minute timer
set a thirty nine minute timer,39 minute timer
set a forty minute timer,40 minute timer
add an event to my calendar for the 15th of november,calendar 15th november
add an event to my calendar for the 15th of november at 3pm,calendar 15th november 3pm
add an event to my calendar for the 15th of november at 3pm called meeting,calendar 15th november 3pm meeting
add an event to my calendar for the 15th of november at 3pm called meeting with bob,calendar 15th november 3pm meeting with bob
im feeling great today,feeling great
im feeling good today,feeling good
im feeling bad today,feeling bad
im feeling terrible today,feeling terrible
im feeling sad today,feeling sad
im sad,sad
im happy,happy
im feeling happy today,feeling happy
how are you,how are you
how are you today,how are you
how are you feeling,how are you
how are you feeling today,how are you
how old are you,how old are you
how do i spell chickens,spell chickens
create a 45 minute timer,45 minute timer
add a meeting to my calendar on the 20th of June,calendar 20th June meeting
create a 30 second timer,30 second timer
add a meeting to my calendar on the 18th june at 10pm,calendar 18th june 10pm meeting
add a call to my calendar on the 3rd february at 10pm called meeting,calendar 18th february 10pm call
how do i spell potatoes,spell potatoes
whats 15 + 294,15 + 294
whats 15 + 294 + 3,15 + 294 + 3
whats 15 + 294 + 3 + 4,15 + 294 + 3 + 4
what is the answer to 18 x 124,18 * 124
what is the answer to 18 x 124 x 3,18 * 124 * 3
whats 18 * 24,18 * 24
what is 15-14,15 - 14
what is 14 divided by 5,14 / 5
whats 14 times by 12,14 * 5
whats eighty four times nine,84 * 9
whats nine times 3,9 * 3
how are you,how are you
whats 73 plus 3,73 + 3
whats 83 add 4,83 + 4
whats 134 plus 2,134 + 2
whats 6 plus 3,6 + 3
What is the capital of France?,capital france
What is the capital of Italy?,capital italy
Where is china?,where china
Who is the president of the USA?,president usa
How old is the King?,How old King
Who is incharge of China?,who incharge china
Who is Josh Netherton?,who Josh Netherton
What is google?,what google
Set a reminder for tomorrow at 9 AM,reminder tomorrow 9 AM
Set an alarm for 7:30 AM,alarm 7:30 AM
Create a 1-hour countdown,1 hour countdown
Create a 10-minute timer,10 minute timer
Add a meeting to my calendar on June 10th at 2 PM,calendar June 10th 2 PM meeting
Add a reminder for next Monday at 10 AM,reminder next Monday 10 AM
Add an event to my calendar on July 20th called Birthday Party,calendar July 20th Birthday Party
Add Buy groceries to my to-do list,to-do list Buy groceries
Take a note: Research new project ideas,note Research new project ideas
Remind me to call Mom at 6 PM today,reminder call Mom 6 PM today
What's the weather like today?,weather today
What's the temperature in New York?,temperature New York
Convert 5 miles to kilometers,convert 5 miles kilometers
Define the word serendipity,define serendipity
Translate hello to French,translate hello French
Play some relaxing music,play relaxing music
Search for recipes for chicken curry,search recipes chicken curry
Tell me a joke,joke
Tell me a fun fact,fun fact
Who won the last World Cup?,winner last World Cup
When is the next full moon?,next full moon
What movies are playing in theaters?,movies playing theaters
Find a nearby restaurant,nearby restaurant
Send an email to John Smith,email John Smith
Call Mom,call Mom
Open my favorite website,open favorite website
Read me the latest news,read latest news
Tell me about the Eiffel Tower,about Eiffel Tower
whats the weather,weather today
create a 30 min timer,30 minute timer
calendar 27th may at 7pm prom,calendar 27th may 7pm prom
add an event called Prom to my calendar on the 27th of May at 6pm,calendar 27th may 6pm prom
write a note called buy milk,note buy milk
write a note called buy milk and bread,note buy milk and bread
write a note called buy milk and bread and eggs,note buy milk and bread and eggs
add buy milk to my to do list,to do list buy milk
add buy milk and bread to my to do list,to do list buy milk and bread
add buy milk and bread and eggs to my to do list,to do list buy milk and bread and eggs
what is 32 / 9,32 / 9
what is 32 / 9 / 3,32 / 9 / 3
what is chicken,what chicken
what is chicken and potatoes,what chicken and potatoes
how would i make a sandwich,how make sandwich
how would i make a sandwich with cheese,how make sandwich with cheese
who is the maker of you?,who made you
who is the creator of you?,who created you
how are you made,how you made
add an event to my calendar called meeting,calendar meeting
add an event to my calendar called meeting on the 20th of June,calendar 20th June meeting
add an event to my calendar called meeting on the 20th of June at 10pm,calendar 20th June 10pm meeting
add to my calendar,calendar
add to my calendar called meeting,calendar meeting
add to my calendar called meeting on the 3rd of september,calendar 3rd september meeting
add my dancing classes to my calendar on the 9th of december,calendar 9th december dancing classes
set a 10 second timer,10 second timer
10 second timer,10 second timer
8 second timer,8 second timer
set a 10 second imer,10 second timer
where is china,where is china
how are you,how are you
set a 30 second timer,30 second timer
set a 10 second timer,10 second timer
set a 20 second timer,20 second timer
start a 20 second timer,20 second timer
set 10-minute timer,10 minute timer
say 10 second timer,10 second timer
set a 20-second timer,20 second timer
add an event to my calendar for the 9th of May at 4pm.,calendar 9th may 4pm
show me my calendar,show calendar
show me my calendar,show calendar
add an event to my callendar for the 26th of May at 7pm called Prom ,calendar 20th June meeting
Prom,10 second timer
show me my calendar,show calendar
where is France,where is France
where is France,where is France
where is China,where is china
tell me about the Statue of Liberty,about Statue of Liberty
tell me about the Empire State Building,about Empire State Building
tell me about the Great Wall of China,about Great Wall of China
tell me about the statue of liberty,about Statue of Liberty
what is the statue of liberty,Statue of Liberty
how old is the king,How old King
what is the capital of france,capital france
what is the presidents favourite colour,what presidents favourite colour
where is the big ben,where big ben
create a 10 second timer please,10 second timer
where is the Effiel tower,where is Eiffel tower
What is the most common bug?,most common bug
set a 10-second timer,10 second timer
open my calendar,show calendar
add an event to my calendar for the 8th may at 4pm called meeting,calendar 9th may 4pm
tell me about the Eiffel Tower,about Eiffel Tower
what colour is the sky,what colour sky
what is the capital of germany,capital germany
what is the capital of spain, capital spain
what is the capital of italy,capital italy
what is the capital of france,capital france
what is the capital of china,capital china
what is the capital of russia,capital russia
what is the capital of the united states,capital united states
what is the capital of the united kingdom,capital united kingdom
what is the capital of the bulgaria,capital bulgaria
what is the capital of the netherlands,capital netherlands
what is the capital of the belgium,capital belgium
what is the capital of the sweden,capital sweden
what is the capital of the norway,capital norway
what is the capital of the denmark,capital denmark
what is the capital of the finland,capital finland
what is the capital of the poland,capital poland
what is the capital of the ukraine,capital ukraine
what is the capital of the austria,capital austria
what is the capital of the switzerland,capital switzerland
what is the capital of the portugal,capital portugal
what is the capital of the greece,capital greece
what is the capital of the czech republic,capital czech republic
what is the capital of the hungary,capital hungary
what is the capital of the romania,capital romania
what is the capital of the belarus,capital belarus
what is the capital of the serbia,capital serbia
what is the capital of the slovakia,capital slovakia
what is the capital of the ireland,capital ireland
what is the capital of the croatia,capital croatia
what is the capital of the bosnia and herzegovina,capital bosnia and herzegovina
